id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,file_size,token_count,coverage
PG30903,El Filibusterismo (Continuación del Noli me tángere),"Rizal, José",1861.0,1896.0,['es'],55.0,"{'Nationalists -- Philippines -- Fiction', 'Philippines -- History -- Fiction', 'Philippine fiction (Spanish)'}",Text,573.48,101237.0,0.9779527247942946
PG52499,Cuestiones políticas y económicas,"Huergo, Palemón",,,['es'],6.0,"{'Argentina -- Economic conditions', 'Argentina -- Politics and government -- 1817-1860'}",Text,220.14,37379.0,0.9832526284812327
PG46246,"Historia General del Derecho Español, Tomo I","Hinojosa, Eduardo de",,,['es'],18.0,{'Law -- Spain -- History'},Text,621.6,102283.0,0.9750985012172111
PG37095,"Historia de la literatura y del arte dramático en España, tomo V","Schack, Adolf Friedrich von",1815.0,1894.0,['es'],12.0,{'Spanish drama -- History and criticism'},Text,480.69,84723.0,0.9864971731407056
PG23236,Mare nostrum,"Blasco Ibáñez, Vicente",1867.0,1928.0,['es'],26.0,{'Spanish fiction'},Text,832.83,143117.0,0.9847607202498655
PG51627,Cuentos y crónicas: Obras Completas Vol. XIV,"Darío, Rubén",1867.0,1916.0,['es'],29.0,{'Nicaraguan literature'},Text,128.98,23255.0,0.9885185981509352
PG11529,"La Espuma: Obras completas de D. Armando Palacio Valdés, Tomo 7.","Palacio Valdés, Armando",1853.0,1938.0,['es'],14.0,"{'Satire', 'Spanish fiction', 'Madrid (Spain) -- Social life and customs -- Fiction'}",Text,698.66,123163.0,0.9822592824143614
PG30122,Entre naranjos,"Blasco Ibáñez, Vicente",1867.0,1928.0,['es'],24.0,{'Spanish fiction'},Text,458.27,80683.0,0.9854864097765329
PG37067,"Historia de la literatura y del arte dramático en España, tomo IV","Schack, Adolf Friedrich von",1815.0,1894.0,['es'],13.0,{'Spanish drama -- History and criticism'},Text,577.38,101319.0,0.9846326947561662
PG52857,Tierras Solares: Obras Completas Vol. III,"Darío, Rubén",1867.0,1916.0,['es'],14.0,"{'Darío, Rubén, 1867-1916 -- Travel -- Europe', 'Authors, Nicaraguan -- 20th century -- Travel', 'Andalusia (Spain) -- Description and travel', 'Europe -- Description and travel', 'Darío, Rubén, 1867-1916 -- Travel -- Spain -- Andalusia'}",Text,207.08,36922.0,0.9901684632468447
PG17406,Un viaje de novios,"Pardo Bazán, Emilia, condesa de",1852.0,1921.0,['es'],24.0,{'Spanish fiction'},Text,381.52,67878.0,0.9761336515513126
PG28408,"Comedias: El remedio en la desdicha; El mejor alcalde, el rey","Vega, Lope de",1562.0,1635.0,['es'],37.0,{'Spanish drama'},Text,261.04,48838.0,0.9783160653589418
PG40724,"Descripción colonial, libro segundo (2/2)","Lizárraga, Reginaldo de",,1615.0,['es'],10.0,"{'America -- Early accounts to 1600', 'South America -- Description and travel'}",Text,451.3,81807.0,0.9805395626291149
PG49413,El señor de Bembibre,"Gil y Carrasco, Enrique",1815.0,1846.0,['es'],24.0,"{'Spanish fiction -- 19th century', 'Historical fiction'}",Text,609.11,109532.0,0.9866614322754994
PG45770,Cocina moderna,Anonymous,,,['es'],83.0,{'Cooking'},Text,440.15,80680.0,0.9786440257808626
PG40827,"La voz de la conseja, t.1: Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos","Darío, Rubén",1867.0,1916.0,['es'],85.0,{'Spanish fiction'},Text,232.72,42846.0,0.9805816178873173
